Date,price,trend_state,vol_state,regime,confidence
2001-06-22,122.8499984741211,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9689883845022325
2001-06-25,121.72000122070312,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9780610219427159
2001-06-26,121.55000305175781,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9847482133295846
2001-06-27,121.4800033569336,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9817938948873084
2001-06-28,122.1500015258789,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9828369910049926
2001-06-29,122.5999984741211,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9752242909810449
2001-07-02,124.12999725341797,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9622902168269456
2001-07-03,124.0999984741211,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9400264148308071
2001-07-05,121.68000030517578,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9671903477373762
2001-07-06,119.05000305175781,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.9037907471110573
2001-07-09,119.69999694824219,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.8957738446481447
2001-07-10,118.26000213623047,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.8832232720332924
2001-07-11,118.37999725341797,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.8803010648676035
2001-07-12,121.19000244140625,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.7699540481510685
2001-07-13,122.23999786376953,DOWN,MEDIUM,RISK_OFF_TRANSITION,0.8387637388844309
2001-07-16,120.70999908447266,DOWN,HIGH,RISK_OFF_TRANSITION,0.8116228831049599
2001-07-17,121.83999633789062,DOWN,HIGH,RISK_OFF_TRANSITION,0.8000863883859659
2001-07-18,121.01000213623047,DOWN,HIGH,RISK_OFF,0.510488363237697
2001-07-19,122.06999969482422,DOWN,HIGH,RISK_OFF,0.5169313337970797
2001-07-20,121.33999633789062,DOWN,HIGH,RISK_OFF,0.5510489537526623
2001-07-23,118.94999694824219,DOWN,HIGH,RISK_OFF,0.5151778308338218
2001-07-24,117.80000305175781,DOWN,HIGH,RISK_OFF,0.5289616448886232
